First,GCD,Steps,Second,GCD,Steps,
E,1,585,S,1,397,
E,1,587,S,1,406,
E,1,602,S,1,406,
E,1,590,S,1,397,
E,42,601,S,42,423,
E,36,620,S,36,429,
E,1,603,S,1,404,
E,2,608,S,2,419,
E,1,617,S,1,438,
E,3,564,S,3,388,
E,1,563,S,1,394,
E,1,596,S,1,412,
E,2,609,S,2,417,
E,1,612,S,1,423,
E,15,622,S,15,429,
E,1,580,S,1,398,
E,1,648,S,1,440,
E,1,619,S,1,417,
E,3,579,S,3,413,
E,1,581,S,1,413,
E,1,609,S,1,425,
E,1,624,S,1,432,
E,3,617,S,3,420,
E,12,569,S,12,403,
E,10,566,S,10,394,
E,2,593,S,2,413,
E,1,628,S,1,422,
E,7,607,S,7,426,
E,1,622,S,1,427,
E,6,618,S,6,426,
E,1,604,S,1,409,
E,1,625,S,1,444,
E,29,633,S,29,434,
E,3,611,S,3,424,
E,3,589,S,3,402,
E,1,614,S,1,423,
E,1,594,S,1,419,
E,1,581,S,1,397,
E,3,575,S,3,395,
E,1,591,S,1,409,
E,1,577,S,1,399,
E,3,613,S,3,427,
E,4,618,S,4,428,
E,11,619,S,11,424,
E,2,613,S,2,435,
E,4,587,S,4,411,
E,4,580,S,4,411,
E,4,603,S,4,418,
E,2,604,S,2,430,
E,2,599,S,2,412,
E,1,598,S,1,407,
E,8,534,S,8,377,
E,1,591,S,1,409,
E,1,589,S,1,402,
E,1,580,S,1,413,
E,128,583,S,128,402,
E,1,611,S,1,424,
E,1,583,S,1,401,
E,2,605,S,2,417,
E,2,571,S,2,394,
E,3,607,S,3,421,
E,1,608,S,1,416,
E,3,592,S,3,413,
E,1,546,S,1,394,
E,1,606,S,1,411,
E,1,594,S,1,414,
E,3,599,S,3,408,
E,35,590,S,35,416,
E,4,601,S,4,419,
E,1,603,S,1,413,
E,1,588,S,1,421,
E,1,633,S,1,446,
E,1,594,S,1,407,
E,1,593,S,1,418,
E,1,586,S,1,412,
E,1,598,S,1,412,
E,1,606,S,1,419,
E,1,630,S,1,435,
E,3,593,S,3,415,
E,1,584,S,1,413,
E,20,583,S,20,408,
E,1,556,S,1,387,
E,3,590,S,3,407,
E,2,612,S,2,426,
E,1,578,S,1,404,
E,1,583,S,1,413,
E,3,585,S,3,409,
E,3,620,S,3,421,
E,1,623,S,1,430,
E,1,595,S,1,413,
E,21,606,S,21,410,
E,2,610,S,2,412,
E,1,607,S,1,412,
E,3,577,S,3,406,
E,2,616,S,2,427,
E,2,601,S,2,417,
E,1,579,S,1,400,
E,1,607,S,1,417,
E,1,589,S,1,420,
E,1,612,S,1,424,
E,3,603,S,3,414,
E,58,571,S,58,394,
E,1,581,S,1,411,
E,1,606,S,1,425,
E,3,612,S,3,424,
E,1,601,S,1,411,
E,1,626,S,1,426,
E,1,621,S,1,429,
E,16,576,S,16,405,
E,1,627,S,1,430,
E,1,614,S,1,425,
E,1,603,S,1,418,
E,1,613,S,1,418,
E,1,632,S,1,435,
E,1,580,S,1,407,
E,1,582,S,1,411,
